Indentation

 + User defined profile

+ User defined profile
   Acquisition Rate :	20.0 [Hz]
   Max load :	5.00 	mN
   Loading rate :	3.00 	mN/min
   Pause :	10.0 s
   Max load :	0.50 	mN
   Loading rate :	8.00 	mN/min
   Pause :	90.0 s
   Max load :	0.00 	mN
   Loading rate :	8.00 	mN/min
+ TTX-NHT S/N: 01-05628 settings
   Approach distance : 3000 nm
   Approach speed : 2000 nm/min
   Retract speed : 2001 nm/min
   Dz sensor in fine range
   Stiffness Threshold : 1000 µN/µm
   Spring Compliance : 0.924 mm/N
   Warning: Factory spring compliance
   (Computed: 0.727 mm/N)


Date :11/24/2021
Time :3:10:20 PM

   Method :	Oliver & Pharr

 + Parameters

  Unload Fit [40%,98%]

 + Main results

   HIT=	42.484 	MPa
   EIT=	1.0325 	GPa
   E*=	1.1346 	GPa

 + Hypothesis

   hc out of calibrated range [111 nm, 1466 nm]
   m out of O&P hypothesis
   Poisson's ratio(nu)=	0.30 

 + Additional results

   HVIT=	3.9345 	 Vickers
   nIT=	40.87 %
   Fmax=	4.88 	mN
   hmax=	2366.25 	nm
   S=	0.0142 	mN/nm
   hc=	2115.94 	nm
   hr=	2021.95 	nm
   hp=	-4519.86 	nm
   m=	20.0000 
   Epsilon=	0.73 
   R2=	0.827
   Ap=	114878689.45 	nm²
   Welast=	2032.87 pJ
   Wplast=	2940.75 pJ
   Wtotal=	4973.62 pJ
   Er=	1.1335 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
6.85	162.6802	0.3174	0	1
6.9	164.3815	0.3189	0	1
6.95	165.5629	0.3228	0	1
7	166.5999	0.3268	0	1
7.05	168.1788	0.329	0	1
7.1	168.789	0.333	0	1
7.15	169.7	0.3345	0	1
7.2	171.1251	0.3369	0	1
7.25	172.4734	0.3381	0	1
7.3	173.3997	0.3397	0	1
7.35	175.0293	0.3442	0	1
7.4	176.8257	0.3442	0	1
7.45	178.1327	0.3469	0	1
7.5	179.7908	0.3511	0	1
7.55	180.7037	0.3544	0	1
7.6	181.7277	0.3542	0	1
7.65	182.4297	0.3555	0	1
7.7	183.3458	0.3605	0	1
7.75	185.2976	0.3643	0	1
7.8	186.3682	0.3646	0	1
7.85	188.1454	0.3661	0	1
7.9	190.4246	0.3678	0	1
7.95	192.6373	0.3697	0	1
8	194.7217	0.3719	0	1
8.05	195.6901	0.3757	0	1
8.1	197.7248	0.3808	0	1
8.15	199.7659	0.3859	0	1
8.2	200.4992	0.3892	0	1
8.25	201.4974	0.3896	0	1
8.3	203.2435	0.3899	0	1
8.35	205.8855	0.3896	0	1
8.4	208.322	0.3914	0	1
8.45	210.5815	0.3955	0	1
8.5	212.8934	0.3991	0	1
8.55	214.693	0.4013	0	1
8.6	216.2447	0.4021	0	1
8.65	217.4051	0.407	0	1
8.7	218.9478	0.4108	0	1
8.75	220.1024	0.4125	0	1
8.8	221.328	0.4159	0	1
8.85	223.2438	0.4164	0	1
8.9	224.4198	0.4203	0	1
8.95	225.7498	0.4245	0	1
9	226.7272	0.4257	0	1
9.05	227.9306	0.4298	0	1
9.1	228.8771	0.4322	0	1
9.15	229.177	0.435	0	1
9.2	230.5102	0.4369	0	1
9.25	231.591	0.4361	0	1
9.3	233.2721	0.4382	0	1
9.35	234.5067	0.4432	0	1
9.4	235.3806	0.4456	0	1
9.45	237.0533	0.4453	0	1
9.5	238.4737	0.447	0	1
9.55	240.3576	0.4506	0	1
9.6	241.5703	0.4581	0	1
9.65	243.1327	0.4611	0	1
9.7	244.0885	0.4615	0	1
9.75	245.0507	0.4632	0	1
9.8	246.4244	0.465	0	1
9.85	247.1695	0.4685	0	1
9.9	248.5124	0.4721	0	1
9.95	249.4591	0.473	0	1
