Indentation

 + User defined profile

+ User defined profile
   Acquisition Rate :	20.0 [Hz]
   Max load :	5.00 	mN
   Loading rate :	3.00 	mN/min
   Pause :	10.0 s
   Max load :	0.50 	mN
   Loading rate :	8.00 	mN/min
   Pause :	90.0 s
   Max load :	0.00 	mN
   Loading rate :	8.00 	mN/min
+ TTX-NHT S/N: 01-05628 settings
   Approach distance : 3000 nm
   Approach speed : 2000 nm/min
   Retract speed : 2001 nm/min
   Dz sensor in fine range
   Stiffness Threshold : 1000 µN/µm
   Spring Compliance : 0.924 mm/N
   Warning: Factory spring compliance
   (Computed: 0.727 mm/N)


Date :11/24/2021
Time :3:10:20 PM

   Method :	Oliver & Pharr

 + Parameters

  Unload Fit [40%,98%]

 + Main results

   HIT=	42.484 	MPa
   EIT=	1.0325 	GPa
   E*=	1.1346 	GPa

 + Hypothesis

   hc out of calibrated range [111 nm, 1466 nm]
   m out of O&P hypothesis
   Poisson's ratio(nu)=	0.30 

 + Additional results

   HVIT=	3.9345 	 Vickers
   nIT=	40.87 %
   Fmax=	4.88 	mN
   hmax=	2366.25 	nm
   S=	0.0142 	mN/nm
   hc=	2115.94 	nm
   hr=	2021.95 	nm
   hp=	-4519.86 	nm
   m=	20.0000 
   Epsilon=	0.73 
   R2=	0.827
   Ap=	114878689.45 	nm²
   Welast=	2032.87 pJ
   Wplast=	2940.75 pJ
   Wtotal=	4973.62 pJ
   Er=	1.1335 	GPa

Measured values
Time (s)	Pd (nm)	Fn (mN)	FnRef (mN)	SegmentID
26.8	697.5339	1.3156	0	1
26.85	699.4179	1.316	0	1
26.9	700.6689	1.3182	0	1
26.95	702.3812	1.3201	0	1
27	703.9879	1.3256	0	1
27.05	705.4362	1.3284	0	1
27.1	706.5335	1.3313	0	1
27.15	707.8726	1.3348	0	1
27.2	709.5033	1.3354	0	1
27.25	710.2321	1.3391	0	1
27.3	711.4017	1.343	0	1
27.35	712.3753	1.3448	0	1
27.4	713.5916	1.3462	0	1
27.45	715.1141	1.3456	0	1
27.5	716.2337	1.349	0	1
27.55	718.4016	1.3524	0	1
27.6	720.0374	1.3557	0	1
27.65	721.1709	1.3573	0	1
27.7	722.9779	1.3593	0	1
27.75	724.4029	1.3632	0	1
27.8	725.7708	1.3637	0	1
27.85	726.8362	1.3638	0	1
27.9	728.8777	1.3684	0	1
27.95	730.9617	1.372	0	1
28	732.0559	1.3741	0	1
28.05	733.7232	1.378	0	1
28.1	735.2179	1.3804	0	1
28.15	736.6652	1.383	0	1
28.2	737.8997	1.386	0	1
28.25	739.0985	1.3869	0	1
28.3	740.6075	1.3905	0	1
28.35	741.385	1.3941	0	1
28.4	742.6867	1.3958	0	1
28.45	744.0284	1.3977	0	1
28.5	745.2707	1.3993	0	1
28.55	746.3193	1.4028	0	1
28.6	747.1347	1.4066	0	1
28.65	748.5615	1.4082	0	1
28.7	749.4018	1.4113	0	1
28.75	750.2727	1.4128	0	1
28.8	751.4612	1.4149	0	1
28.85	752.967	1.4179	0	1
28.9	754.2774	1.4178	0	1
28.95	754.9186	1.4233	0	1
29	756.0919	1.4254	0	1
29.05	757.3851	1.4273	0	1
29.1	759.2581	1.4308	0	1
29.15	760.4336	1.4315	0	1
29.2	761.279	1.4352	0	1
29.25	762.7619	1.4392	0	1
29.3	763.6567	1.4429	0	1
29.35	764.8258	1.4441	0	1
29.4	766.0591	1.4432	0	1
29.45	767.4327	1.4452	0	1
29.5	768.9261	1.4486	0	1
29.55	770.4943	1.4535	0	1
29.6	772.4802	1.4567	0	1
29.65	772.9863	1.4601	0	1
29.7	773.7179	1.4626	0	1
29.75	775.2994	1.4623	0	1
29.8	776.3433	1.4628	0	1
29.85	777.8824	1.4667	0	1
29.9	779.0394	1.4704	0	1
29.95	780.6903	1.4742	0	1
30	782.2773	1.4739	0	1
30.05	782.9174	1.4761	0	1
30.1	784.8055	1.481	0	1
30.15	786.6866	1.4843	0	1
30.2	787.7672	1.4845	0	1
30.25	788.129	1.4877	0	1
30.3	789.7903	1.4929	0	1
30.35	791.3922	1.4918	0	1
30.4	792.6824	1.4927	0	1
30.45	794.0866	1.4966	0	1
30.5	795.4464	1.5009	0	1
30.55	797.0347	1.5029	0	1
30.6	797.0431	1.5068	0	1
30.65	798.5834	1.5089	0	1
30.7	800.3255	1.5084	0	1
30.75	800.9894	1.5118	0	1
30.8	802.3015	1.5136	0	1
30.85	803.7776	1.5163	0	1
30.9	805.6683	1.52	0	1
30.95	806.8738	1.5224	0	1
31	807.9309	1.5244	0	1
31.05	809.7111	1.5276	0	1
31.1	811.0311	1.5308	0	1
31.15	812.0609	1.5345	0	1
31.2	813.1018	1.5379	0	1
31.25	814.3225	1.5398	0	1
31.3	815.665	1.5389	0	1
31.35	816.8829	1.5409	0	1
31.4	818.1783	1.5437	0	1
31.45	819.6516	1.5476	0	1
31.5	820.8969	1.5523	0	1
31.55	821.8462	1.5556	0	1
31.6	823.3098	1.5549	0	1
31.65	824.6696	1.5563	0	1
31.7	825.7888	1.5585	0	1
31.75	827.4181	1.5612	0	1
31.8	828.8189	1.5652	0	1
31.85	830.0985	1.5676	0	1
31.9	831.2666	1.5707	0	1
31.95	833.0373	1.5733	0	1
32	834.8539	1.5759	0	1
32.05	835.6339	1.5772	0	1
32.1	837.097	1.5811	0	1
32.15	838.5811	1.582	0	1
32.2	839.9831	1.5838	0	1
32.25	841.6481	1.585	0	1
32.3	842.5869	1.5901	0	1
32.35	844.6483	1.5933	0	1
32.4	845.6891	1.5948	0	1
32.45	846.3717	1.5969	0	1
32.5	848.1236	1.5997	0	1
32.55	849.2788	1.6027	0	1
32.6	850.7735	1.6027	0	1
32.65	851.9194	1.6068	0	1
32.7	853.574	1.6096	0	1
32.75	855.5785	1.6108	0	1
32.8	856.6799	1.6129	0	1
32.85	858.1586	1.6182	0	1
32.9	859.227	1.6225	0	1
32.95	860.1914	1.6226	0	1
33	861.6129	1.6261	0	1
33.05	863.0692	1.6283	0	1
33.1	864.5382	1.6279	0	1
33.15	865.8565	1.6319	0	1
33.2	867.6062	1.6359	0	1
33.25	868.6644	1.6395	0	1
33.3	870.0868	1.6394	0	1
33.35	871.1632	1.6401	0	1
33.4	872.116	1.6436	0	1
33.45	874.0913	1.6456	0	1
33.5	875.4977	1.6482	0	1
33.55	877.0267	1.6534	0	1
33.6	878.4999	1.6561	0	1
33.65	879.7935	1.6586	0	1
33.7	881.159	1.6606	0	1
33.75	881.8332	1.6639	0	1
33.8	883.5227	1.6658	0	1
33.85	884.6652	1.666	0	1
33.9	886.2214	1.669	0	1
33.95	887.8616	1.6709	0	1
34	889.2437	1.6734	0	1
34.05	891.2867	1.6767	0	1
34.1	892.5063	1.6805	0	1
34.15	894.1938	1.6828	0	1
34.2	895.972	1.6837	0	1
34.25	897.2966	1.6878	0	1
34.3	898.8605	1.6911	0	1
34.35	899.8724	1.6952	0	1
34.4	900.8758	1.6965	0	1
34.45	901.9106	1.6968	0	1
34.5	903.6914	1.6986	0	1
34.55	905.2792	1.7	0	1
34.6	906.2576	1.7034	0	1
34.65	908.2292	1.7054	0	1
34.7	910.078	1.7093	0	1
34.75	911.5999	1.7142	0	1
34.8	912.6545	1.7179	0	1
34.85	914.0083	1.7201	0	1
34.9	915.3612	1.7195	0	1
34.95	915.9843	1.7204	0	1
35	917.2906	1.7231	0	1
35.05	918.6745	1.7265	0	1
35.1	920.193	1.7297	0	1
35.15	921.5511	1.7336	0	1
35.2	922.8775	1.7365	0	1
35.25	924.3266	1.7381	0	1
35.3	925.4353	1.7403	0	1
35.35	926.3196	1.7424	0	1
35.4	927.2995	1.7454	0	1
35.45	929.0904	1.7457	0	1
35.5	931.0793	1.7473	0	1
35.55	932.6243	1.7533	0	1
35.6	934.2873	1.7566	0	1
35.65	935.273	1.757	0	1
35.7	936.7397	1.758	0	1
35.75	937.6942	1.7628	0	1
35.8	938.9132	1.7661	0	1
35.85	940.8771	1.7664	0	1
35.9	941.5848	1.7711	0	1
35.95	942.9835	1.7716	0	1
36	944.488	1.7719	0	1
36.05	946.1738	1.7775	0	1
36.1	947.9528	1.7803	0	1
36.15	948.974	1.7834	0	1
36.2	950.5348	1.7854	0	1
36.25	951.7218	1.7873	0	1
36.3	952.7608	1.791	0	1
36.35	953.8078	1.7949	0	1
36.4	955.2699	1.7969	0	1
36.45	957.2659	1.7981	0	1
36.5	958.0222	1.8008	0	1
36.55	958.836	1.8022	0	1
36.6	960.7375	1.8027	0	1
36.65	962.4504	1.8045	0	1
36.7	963.7511	1.8103	0	1
36.75	965.0907	1.8136	0	1
36.8	966.894	1.8156	0	1
36.85	967.9578	1.8178	0	1
36.9	969.1595	1.819	0	1
36.95	970.5132	1.822	0	1
37	971.6768	1.8229	0	1
37.05	973.2569	1.828	0	1
37.1	974.4837	1.8355	0	1
37.15	975.3644	1.8347	0	1
37.2	976.307	1.8335	0	1
37.25	977.5505	1.8352	0	1
37.3	979.1793	1.8391	0	1
37.35	980.7674	1.8456	0	1
37.4	982.4378	1.8454	0	1
37.45	983.5339	1.8467	0	1
37.5	984.849	1.8488	0	1
37.55	986.1664	1.8501	0	1
37.6	987.7215	1.8536	0	1
37.65	989.5105	1.8564	0	1
37.7	990.7627	1.8588	0	1
37.75	992.5742	1.8621	0	1
37.8	993.767	1.8656	0	1
37.85	995.1715	1.8694	0	1
37.9	996.7804	1.8701	0	1
37.95	998.2025	1.8715	0	1
38	999.7603	1.8769	0	1
38.05	1000.704	1.8788	0	1
38.1	1002.4125	1.8788	0	1
38.15	1003.676	1.8821	0	1
38.2	1004.7641	1.8852	0	1
38.25	1006.2904	1.887	0	1
38.3	1007.5412	1.8909	0	1
38.35	1009.1668	1.8933	0	1
38.4	1010.4878	1.8953	0	1
38.45	1011.3811	1.8973	0	1
38.5	1013.0324	1.9001	0	1
38.55	1014.6754	1.9034	0	1
38.6	1015.505	1.9037	0	1
38.65	1016.534	1.9071	0	1
38.7	1018.7036	1.9127	0	1
38.75	1020.032	1.912	0	1
38.8	1020.8087	1.9136	0	1
38.85	1022.4974	1.9151	0	1
38.9	1023.3562	1.9201	0	1
38.95	1025.2719	1.9233	0	1
39	1026.8549	1.9237	0	1
39.05	1027.9502	1.9272	0	1
39.1	1029.5276	1.929	0	1
39.15	1030.8839	1.934	0	1
39.2	1032.5665	1.9371	0	1
39.25	1033.3737	1.9382	0	1
39.3	1034.5637	1.9397	0	1
39.35	1036.3651	1.94	0	1
39.4	1037.9887	1.9428	0	1
39.45	1039.6132	1.9481	0	1
39.5	1040.9462	1.9516	0	1
39.55	1042.4657	1.9531	0	1
39.6	1043.7101	1.9559	0	1
39.65	1044.9328	1.9568	0	1
39.7	1046.7816	1.9596	0	1
39.75	1048.0849	1.9645	0	1
39.8	1049.2257	1.9658	0	1
39.85	1050.2766	1.9685	0	1
39.9	1051.8405	1.9704	0	1
39.95	1052.9859	1.9724	0	1
40	1053.7498	1.9753	0	1
40.05	1055.8005	1.9764	0	1
40.1	1057.3622	1.9784	0	1
40.15	1059.3358	1.9812	0	1
40.2	1060.9718	1.984	0	1
40.25	1062.4382	1.9887	0	1
40.3	1064.1454	1.9873	0	1
40.35	1065.2504	1.9898	0	1
40.4	1067.0832	1.9947	0	1
40.45	1068.841	1.9981	0	1
40.5	1070.4481	2.0019	0	1
40.55	1071.3424	2.003	0	1
40.6	1072.2045	2.0044	0	1
40.65	1073.8392	2.0081	0	1
40.7	1074.8045	2.0111	0	1
40.75	1076.3361	2.0155	0	1
40.8	1077.5736	2.0165	0	1
40.85	1078.8151	2.0151	0	1
40.9	1080.3142	2.0183	0	1
40.95	1081.4577	2.0221	0	1
41	1082.9233	2.0239	0	1
41.05	1084.4921	2.0282	0	1
41.1	1086.1125	2.0294	0	1
41.15	1086.9177	2.0329	0	1
41.2	1088.1993	2.0349	0	1
41.25	1090.178	2.0365	0	1
41.3	1091.2477	2.0416	0	1
41.35	1092.5842	2.0417	0	1
41.4	1094.084	2.0438	0	1
41.45	1095.8613	2.0467	0	1
41.5	1097.1486	2.0507	0	1
41.55	1098.0467	2.0559	0	1
41.6	1099.7593	2.0557	0	1
41.65	1100.6976	2.0565	0	1
41.7	1101.8575	2.0585	0	1
41.75	1103.7593	2.059	0	1
41.8	1105.6956	2.0652	0	1
41.85	1107.5202	2.0695	0	1
41.9	1108.7124	2.0692	0	1
41.95	1110.4895	2.0723	0	1
42	1111.8241	2.0738	0	1
42.05	1112.8549	2.0758	0	1
42.1	1114.5089	2.0793	0	1
42.15	1115.9982	2.0821	0	1
42.2	1117.6022	2.083	0	1
42.25	1119.106	2.0855	0	1
42.3	1121.1842	2.0894	0	1
42.35	1122.6261	2.0936	0	1
42.4	1123.4277	2.0955	0	1
42.45	1125.549	2.0974	0	1
42.5	1127.0352	2.1005	0	1
42.55	1128.0253	2.1029	0	1
42.6	1129.3593	2.1041	0	1
42.65	1131.4203	2.1038	0	1
42.7	1133.2042	2.1074	0	1
42.75	1134.569	2.1143	0	1
42.8	1136.4571	2.116	0	1
42.85	1137.6414	2.1178	0	1
42.9	1139.2412	2.1208	0	1
42.95	1140.6727	2.1234	0	1
43	1141.5138	2.1252	0	1
43.05	1142.9248	2.125	0	1
43.1	1144.1465	2.1269	0	1
43.15	1146.3777	2.13	0	1
43.2	1148.1799	2.1347	0	1
43.25	1149.6535	2.1406	0	1
43.3	1151.0569	2.1423	0	1
43.35	1151.9208	2.1427	0	1
43.4	1153.4371	2.1441	0	1
43.45	1154.8462	2.1459	0	1
43.5	1156.2622	2.1475	0	1
43.55	1157.8373	2.151	0	1
43.6	1159.6818	2.1556	0	1
43.65	1161.5876	2.1592	0	1
43.7	1162.1924	2.1597	0	1
43.75	1163.891	2.1618	0	1
43.8	1165.6705	2.1643	0	1
43.85	1167.3766	2.1673	0	1
43.9	1169.3948	2.17	0	1
43.95	1170.2279	2.1728	0	1
44	1171.4919	2.1773	0	1
44.05	1172.5354	2.1776	0	1
44.1	1173.6636	2.1771	0	1
44.15	1175.1068	2.1813	0	1
44.2	1176.6686	2.1859	0	1
44.25	1178.3339	2.1868	0	1
44.3	1179.4809	2.1905	0	1
44.35	1180.8003	2.1912	0	1
44.4	1182.1279	2.1929	0	1
44.45	1183.9719	2.1973	0	1
44.5	1185.8245	2.1986	0	1
44.55	1186.6074	2.2011	0	1
44.6	1188.4115	2.2042	0	1
44.65	1190.2161	2.2083	0	1
44.7	1191.7438	2.2116	0	1
44.75	1193.1672	2.2126	0	1
44.8	1194.5823	2.2143	0	1
44.85	1196.1072	2.217	0	1
44.9	1196.8287	2.2219	0	1
44.95	1198.8141	2.2236	0	1
45	1199.939	2.2233	0	1
45.05	1201.2638	2.2268	0	1
45.1	1203.4039	2.2302	0	1
45.15	1204.4871	2.2318	0	1
45.2	1206.0646	2.2329	0	1
45.25	1206.8447	2.2369	0	1
45.3	1208.4472	2.2403	0	1
45.35	1210.7048	2.2434	0	1
45.4	1211.8389	2.2455	0	1
45.45	1213.0318	2.2485	0	1
45.5	1214.5697	2.2541	0	1
45.55	1215.702	2.2546	0	1
45.6	1216.3795	2.2566	0	1
45.65	1217.3561	2.2577	0	1
45.7	1218.918	2.2562	0	1
45.75	1220.8324	2.2611	0	1
45.8	1222.9682	2.2641	0	1
45.85	1224.4466	2.2663	0	1
45.9	1226.1599	2.2668	0	1
45.95	1227.9337	2.2693	0	1
46	1229.9769	2.2737	0	1
46.05	1232.3284	2.2748	0	1
46.1	1233.5776	2.2771	0	1
46.15	1235.0476	2.2799	0	1
46.2	1236.9897	2.2835	0	1
46.25	1239.3915	2.2871	0	1
46.3	1241.0035	2.2906	0	1
46.35	1241.9239	2.2928	0	1
46.4	1243.6922	2.2956	0	1
46.45	1245.2466	2.2988	0	1
46.5	1246.8379	2.2991	0	1
46.55	1248.6648	2.3027	0	1
46.6	1249.5213	2.3065	0	1
46.65	1250.8979	2.3095	0	1
46.7	1251.8614	2.3116	0	1
46.75	1252.9191	2.3131	0	1
46.8	1254.4919	2.3147	0	1
46.85	1255.8999	2.314	0	1
46.9	1258.03	2.3175	0	1
46.95	1260.0853	2.3208	0	1
47	1261.9787	2.3238	0	1
47.05	1262.8757	2.3277	0	1
47.1	1263.9308	2.3303	0	1
47.15	1266.05	2.3324	0	1
47.2	1267.4218	2.3354	0	1
47.25	1268.8849	2.3376	0	1
47.3	1270.1676	2.3429	0	1
47.35	1271.3302	2.3416	0	1
47.4	1273.1036	2.3398	0	1
47.45	1275.1841	2.3444	0	1
47.5	1276.6743	2.349	0	1
47.55	1278.3196	2.3534	0	1
47.6	1280.3458	2.355	0	1
47.65	1281.4082	2.3558	0	1
47.7	1282.5659	2.3603	0	1
47.75	1284.4502	2.3623	0	1
47.8	1286.2725	2.3654	0	1
47.85	1287.8351	2.3686	0	1
47.9	1288.2796	2.3707	0	1
47.95	1289.667	2.3734	0	1
48	1291.4054	2.3727	0	1
48.05	1292.3125	2.3757	0	1
48.1	1294.2615	2.3778	0	1
48.15	1296.6565	2.3798	0	1
48.2	1298.5392	2.3846	0	1
48.25	1299.8344	2.3882	0	1
48.3	1301.34	2.3892	0	1
48.35	1303.3515	2.3918	0	1
48.4	1305.1274	2.3948	0	1
48.45	1307.1587	2.3969	0	1
48.5	1309.4901	2.3993	0	1
48.55	1312.309	2.4004	0	1
48.6	1314.222	2.4036	0	1
48.65	1316.1247	2.4041	0	1
48.7	1318.2614	2.4061	0	1
48.75	1320.1483	2.4123	0	1
48.8	1322.6028	2.4119	0	1
48.85	1323.8104	2.4156	0	1
48.9	1325.1816	2.4192	0	1
48.95	1327.2914	2.4215	0	1
49	1329.181	2.4241	0	1
49.05	1331.3546	2.4234	0	1
49.1	1332.3774	2.4273	0	1
49.15	1334.4119	2.4307	0	1
49.2	1337.7681	2.4298	0	1
49.25	1339.9171	2.4353	0	1
49.3	1341.5371	2.4401	0	1
49.35	1343.9122	2.4416	0	1
49.4	1347.8154	2.4418	0	1
49.45	1349.6196	2.4463	0	1
49.5	1350.8173	2.4519	0	1
49.55	1353.2447	2.4522	0	1
49.6	1355.361	2.4529	0	1
49.65	1356.5342	2.4562	0	1
49.7	1357.2253	2.4588	0	1
49.75	1360.4004	2.4619	0	1
49.8	1362.4852	2.4638	0	1
49.85	1363.0263	2.4664	0	1
49.9	1364.7685	2.4698	0	1
49.95	1367.1004	2.4704	0	1
50	1368.8121	2.4731	0	1
50.05	1368.9741	2.4755	0	1
50.1	1371.1057	2.4774	0	1
50.15	1374.2351	2.4801	0	1
50.2	1375.734	2.4852	0	1
50.25	1376.7454	2.4897	0	1
50.3	1378.8433	2.4898	0	1
50.35	1381.45	2.4902	0	1
50.4	1382.927	2.4943	0	1
50.45	1384.113	2.5002	0	1
50.5	1386.338	2.5002	0	1
50.55	1388.3356	2.4988	0	1
50.6	1389.92	2.5006	0	1
50.65	1391.2581	2.5067	0	1
50.7	1393.3615	2.5134	0	1
50.75	1394.8625	2.5148	0	1
50.8	1395.2283	2.5142	0	1
50.85	1396.7382	2.5166	0	1
50.9	1398.3692	2.5198	0	1
50.95	1399.9052	2.5224	0	1
51	1401.1212	2.5257	0	1
51.05	1402.1399	2.5284	0	1
51.1	1403.7937	2.5296	0	1
51.15	1404.9747	2.5314	0	1
51.2	1406.8409	2.5359	0	1
51.25	1407.7478	2.5374	0	1
51.3	1408.7638	2.5376	0	1
51.35	1411.0455	2.5373	0	1
51.4	1412.8487	2.5423	0	1
51.45	1414.9117	2.5483	0	1
51.5	1416.517	2.5498	0	1
51.55	1418.1721	2.5531	0	1
51.6	1419.4235	2.5545	0	1
51.65	1420.2299	2.5567	0	1
51.7	1422.0582	2.5602	0	1
51.75	1423.7316	2.5626	0	1
51.8	1425.7572	2.5637	0	1
51.85	1427.4635	2.5671	0	1
51.9	1428.9168	2.5692	0	1
51.95	1430.7277	2.5735	0	1
52	1431.9856	2.5758	0	1
52.05	1433.6006	2.5752	0	1
52.1	1435.7611	2.5769	0	1
52.15	1438.2987	2.5809	0	1
52.2	1440.0398	2.5857	0	1
52.25	1441.6483	2.5874	0	1
52.3	1444.1842	2.5868	0	1
52.35	1446.0535	2.5905	0	1
52.4	1448.229	2.5932	0	1
52.45	1450.0588	2.5963	0	1
52.5	1452.0972	2.5989	0	1
52.55	1454.1441	2.6013	0	1
52.6	1455.2511	2.6073	0	1
52.65	1456.6548	2.608	0	1
52.7	1458.25	2.6084	0	1
52.75	1460.2366	2.612	0	1
52.8	1461.4321	2.6134	0	1
52.85	1463.0722	2.6152	0	1
52.9	1465.4038	2.6196	0	1
52.95	1466.9762	2.6221	0	1
53	1468.4866	2.625	0	1
53.05	1469.8657	2.6281	0	1
53.1	1471.4281	2.6295	0	1
53.15	1473.0207	2.6319	0	1
53.2	1474.2183	2.6374	0	1
53.25	1475.6418	2.6406	0	1
53.3	1476.5131	2.6402	0	1
53.35	1477.9335	2.6423	0	1
53.4	1479.2648	2.6438	0	1
53.45	1480.045	2.6442	0	1
53.5	1482.0487	2.6457	0	1
53.55	1484.2526	2.6511	0	1
53.6	1486.1599	2.6522	0	1
53.65	1487.7552	2.6564	0	1
53.7	1489.6992	2.6616	0	1
53.75	1491.5193	2.6645	0	1
53.8	1492.6208	2.6663	0	1
53.85	1494.1456	2.6663	0	1
53.9	1495.9356	2.6694	0	1
53.95	1497.5546	2.6708	0	1
54	1498.9393	2.6748	0	1
54.05	1500.8846	2.6789	0	1
54.1	1502.955	2.6782	0	1
54.15	1504.1666	2.6797	0	1
54.2	1506.6529	2.6819	0	1
54.25	1509.5031	2.6852	0	1
54.3	1511.3107	2.6896	0	1
54.35	1513.0012	2.6918	0	1
54.4	1514.9748	2.6925	0	1
54.45	1516.8235	2.695	0	1
54.5	1518.2828	2.6972	0	1
54.55	1520.6054	2.7017	0	1
54.6	1522.5733	2.7037	0	1
54.65	1524.1372	2.7067	0	1
54.7	1526.2348	2.7098	0	1
54.75	1527.6053	2.711	0	1
54.8	1529.5483	2.7142	0	1
54.85	1531.7762	2.7181	0	1
54.9	1533.568	2.7198	0	1
54.95	1535.0516	2.7199	0	1
55	1536.627	2.7226	0	1
55.05	1539.0655	2.7253	0	1
55.1	1541.0499	2.7277	0	1
55.15	1542.8379	2.7306	0	1
55.2	1544.9241	2.7342	0	1
55.25	1546.5987	2.7365	0	1
55.3	1548.4773	2.7388	0	1
55.35	1550.0062	2.7427	0	1
55.4	1551.7208	2.7448	0	1
55.45	1552.8434	2.749	0	1
55.5	1554.1596	2.7499	0	1
55.55	1556.1424	2.7506	0	1
55.6	1557.6409	2.7554	0	1
55.65	1559.1128	2.7558	0	1
55.7	1560.7158	2.7579	0	1
55.75	1562.9499	2.7598	0	1
55.8	1564.7395	2.7641	0	1
55.85	1566.5726	2.7659	0	1
55.9	1568.8915	2.7667	0	1
55.95	1570.7559	2.7723	0	1
56	1573.0849	2.7745	0	1
56.05	1575.2168	2.7758	0	1
56.1	1577.1154	2.7817	0	1
56.15	1578.815	2.7827	0	1
56.2	1580.1242	2.7834	0	1
56.25	1582.3639	2.7858	0	1
56.3	1584.1714	2.7884	0	1
56.35	1586.1405	2.7911	0	1
56.4	1587.8585	2.7955	0	1
56.45	1589.4524	2.7962	0	1
56.5	1591.7074	2.7987	0	1
56.55	1592.9744	2.8029	0	1
56.6	1595.0774	2.8046	0	1
56.65	1596.9668	2.8048	0	1
56.7	1598.1813	2.8066	0	1
56.75	1600.3351	2.8113	0	1
56.8	1602.8377	2.8143	0	1
56.85	1605.202	2.8164	0	1
56.9	1606.4834	2.8194	0	1
56.95	1608.4428	2.8197	0	1
57	1611.0125	2.8222	0	1
57.05	1613.16	2.825	0	1
57.1	1615.3319	2.8282	0	1
57.15	1617.1363	2.8318	0	1
57.2	1619.3277	2.8327	0	1
57.25	1621.178	2.8357	0	1
57.3	1622.7656	2.8373	0	1
57.35	1625.2546	2.8386	0	1
57.4	1627.2701	2.8428	0	1
57.45	1629.7388	2.8462	0	1
57.5	1631.5823	2.8511	0	1
57.55	1633.1795	2.853	0	1
57.6	1634.7745	2.8536	0	1
57.65	1636.1529	2.855	0	1
57.7	1638.3768	2.8562	0	1
57.75	1640.4193	2.8586	0	1
57.8	1643.1616	2.8614	0	1
57.85	1645.7348	2.8646	0	1
57.9	1648.0023	2.8682	0	1
57.95	1650.6911	2.8707	0	1
58	1652.8415	2.8744	0	1
58.05	1655.0383	2.8775	0	1
58.1	1656.5904	2.8782	0	1
58.15	1658.3779	2.8829	0	1
58.2	1660.3668	2.8857	0	1
58.25	1662.2824	2.8851	0	1
58.3	1664.3837	2.8882	0	1
58.35	1665.9152	2.8921	0	1
58.4	1668.0896	2.8943	0	1
58.45	1670.2169	2.8944	0	1
58.5	1672.1487	2.8955	0	1
58.55	1674.4855	2.8991	0	1
58.6	1676.5361	2.902	0	1
58.65	1678.7796	2.9032	0	1
58.7	1681.0152	2.9095	0	1
58.75	1683.3963	2.9118	0	1
58.8	1685.6517	2.9137	0	1
58.85	1687.5304	2.9167	0	1
58.9	1690.0972	2.9189	0	1
58.95	1692.1371	2.9216	0	1
59	1694.2299	2.921	0	1
59.05	1696.3195	2.9256	0	1
59.1	1698.6526	2.9295	0	1
59.15	1701.1695	2.9304	0	1
59.2	1703.3457	2.9336	0	1
59.25	1705.7884	2.9365	0	1
59.3	1708.2487	2.9378	0	1
59.35	1710.4784	2.9392	0	1
59.4	1712.7356	2.9393	0	1
59.45	1714.8475	2.9441	0	1
59.5	1717.6903	2.9481	0	1
59.55	1719.7847	2.9505	0	1
59.6	1721.9353	2.9553	0	1
59.65	1724.1478	2.9556	0	1
59.7	1726.2736	2.9569	0	1
59.75	1729.108	2.959	0	1
59.8	1731.4173	2.9603	0	1
59.85	1734.3607	2.9655	0	1
59.9	1736.8619	2.9694	0	1
59.95	1738.3884	2.9716	0	1
60	1740.3615	2.9741	0	1
60.05	1742.7363	2.9749	0	1
60.1	1745.4036	2.9784	0	1
60.15	1747.6266	2.9799	0	1
60.2	1750.0295	2.98	0	1
60.25	1752.6021	2.9831	0	1
60.3	1755.2019	2.9858	0	1
60.35	1758.4466	2.9898	0	1
60.4	1761.0347	2.9941	0	1
60.45	1762.8341	2.9972	0	1
60.5	1764.6968	2.9992	0	1
60.55	1766.7855	2.9976	0	1
60.6	1769.0317	3.0024	0	1
60.65	1771.7706	3.0096	0	1
60.7	1774.1616	3.009	0	1
60.75	1775.2933	3.0103	0	1
60.8	1777.6105	3.0118	0	1
60.85	1780.525	3.014	0	1
60.9	1783.1404	3.0188	0	1
60.95	1785.847	3.0193	0	1
61	1788.3498	3.0212	0	1
61.05	1791.3429	3.0228	0	1
61.1	1793.6375	3.0249	0	1
61.15	1796.5016	3.0279	0	1
61.2	1799.4793	3.0325	0	1
61.25	1801.574	3.0365	0	1
61.3	1803.8423	3.0383	0	1
61.35	1805.4716	3.0416	0	1
61.4	1807.6428	3.0436	0	1
61.45	1809.7222	3.0458	0	1
61.5	1811.7677	3.0491	0	1
61.55	1814.1932	3.0486	0	1
61.6	1816.3152	3.0529	0	1
61.65	1818.7754	3.0584	0	1
61.7	1820.6469	3.0613	0	1
61.75	1822.8581	3.0612	0	1
61.8	1825.132	3.0637	0	1
61.85	1827.4599	3.0656	0	1
61.9	1830.2914	3.0656	0	1
61.95	1832.7397	3.0693	0	1
62	1835.3153	3.0714	0	1
62.05	1837.5212	3.0751	0	1
62.1	1840.1396	3.0755	0	1
62.15	1843.1216	3.0768	0	1
62.2	1845.7919	3.0857	0	1
62.25	1848.5336	3.0879	0	1
62.3	1850.7216	3.0868	0	1
62.35	1853.0082	3.0888	0	1
62.4	1855.4221	3.0918	0	1
62.45	1857.7626	3.0958	0	1
62.5	1860.7256	3.0985	0	1
62.55	1862.9304	3.0995	0	1
62.6	1865.4838	3.1011	0	1
62.65	1868.2138	3.1041	0	1
